id,editor,starring,title,writer
0,,Gayne Whitman,The Silver Lining,
1,,Arthur Christopher Orme Plummer Karen Blanche Ziegler,,
2,,Nandita Das Rishibala Naval Prakash Raj Madhavan Ranganathan P. S. Keerthana Mincha,Kannathil Muthamittal,Mani Ratnam Sujatha
3,,Arthur Stanley Jefferson,Zeb vs. Paprika,Al Giebler
4,,"Lucinda Jenney Kari Wuhrer Joseph Anthony Mantegna, Jr. Constantine Joanides Bethany Joy Lenz Robert John Burke",Thinner,Michael McDowell Tom Holland Stephen King
5,,Michael Dudikoff Michelle Botes Gary Conway Steve James Larry Poindexter Jeff Weston,American Ninja 2: The Confrontation,Avi Kleinberger Gideon Amir David Geeves Gary Conway
6,,Poonam Dhillon Harihar Jariwala Rakhee Gulzar Amitabh Bachchan Balbir Raj Kapoor,,Salim Khan Javed Akhtar
7,,Herbert Rawlinson Priscilla Dean Albert Conti Arthur Stanley Jefferson Oliver Hardy,Slipping Wives,Harry Eugene Roach H.M. Walker
8,,Madhur Jaffrey Zohra Sehgal Barry Foster (actor) Michael Hugh Johnson  Rita Tushingham Aparna Sen Saeed Jaffrey Utpal Dutt,,Ruth Prawer Jhabvala James Francis Ivory
9,,Genelia D'Souza Hrishitaa Bhatt Nitin Krishnam Raju,,N. Shankar
10,,Marion Robert Morrison Lucille Fay LeSueur Phillip Dorn,Reunion in France,Marc Connelly Jan Lustig Leslie Bush-Fekete Marvin Borowsky
11,,Reginald Marsh (actor) Pauline Murray Bart Allison Sebastian Lewis Shaw,It Happened Here,"Kevin Brownlow
Andrew Mollo"
12,,Kamal Haasan,,
13,,Tom Laughlin (actor),,Delores Taylor Tom Laughlin (actor)
14,,Daria Nicolodi Irene Miracle Alida Maria Laura von Altenburger Eleonora Giorgi Leigh McCloskey,Inferno,Dario Argento
15,,Wolfgang Reichmann Wolfgang von Ungern-Sternberg Athina Zacharopoulou Peter Brogle,Lebenszeichen,Werner Herzog
16,,Sarah Blanche Sweet,The Warrens of Virginia,William Churchill DeMille
17,,Robert John Wagner May Britt Robert Mitchum,,James Salter Wendell Mayes
18,,Lou Costello Dudley Dickerson William Alexander Abbott Mari Blanchard,Abbott and Costello Go to Mars,John Grant (screenwriter) D.D. Beauchamp Howard Christie
19,,Mary William Ethelbert Appleton Burke Fania Borach Frances Ethel Gumm,,Florence Ryerson Edgar Allan Woolf
20,,Kadeem Hardison Marlon Wayans,The Sixth Man,Cynthia Carle Christopher Reed
21,,,Academy Award for Documentary Feature,
22,,"Vantha Talisman
u00C9ric Nguyen","Que la barque se brise, que la jonque s'entrouvre",Rithy Panh
23,,Terrance Quinn Mel Gibson Diane Hall,,Ron Nyswaner
24,,Paul Morris (actor) Renae Raos S. William Hinzman Debbie Ann Rochon Amber Newman Lucy Frashure David Levy (actor),Evil Ambitions,Mark Burchett Michael D. Fox
25,,Leslie William Nielsen August Schellenberg Mimi Kuzyk Stuart Bruce Greenwood,,Wendy Wacko Pete White
26,,,List of Sundance Film Festival award winners,
27,,Peter Alexander Ustinov Robert Mitchum Deborah Jane Kerr-Trimmer,The Sundowners,Isobel Lennart
28,,Nobuko Miyamoto Yasuo Daichi Takehiro Murata,Minbo,Juzo Itami
29,,Helena Bonham Carter Tracey Ullman Emily Anita Watson John Christopher Depp II,Corpse Bride,Caroline Thompson Timothy William Burton John August
30,,,Sinbad Golden Films,Jack Olesker
31,,Amitabh Bachchan Utpal Dutt Jalal Agha,Saat Hindustani,Khwaja Ahmad Abbas
32,,Selma Blair Beitner Michael Rooker,,Jason Freeland James Ellroy
33,,"Angeline Brown Roy Harold Scherer, Jr. Aristotelis Savalas",pretty_maids_all_in_a_row Pretty Maids All in a Row,Francis Pollini Gene Roddenberry
34,,"Christopher Frank Carandini Lee Desi Arnaz, Jr. Vincent Leonard Price, Jr. Richmond Reed Carradine Peter Wilton Cushing",House of the Long Shadows,Seven Keys to Baldpate Michael Armstrong Earl Derr Biggers
35,,Victoria Principal Anthony Perkins Paul Leonard Newman Winfred Jacqueline Fraser-Bisset Richard Farnsworth,,John Frederick Milius
36,,Isabelle Yasmine Adjani Michel Galabru Jean-Hugues Anglade Christopher Lambert,,Marc Perrier
37,,"Anthony Steffen
Ajita Wilson
Cristina Lau
Cintia Lodetti",Escape from Hell,"Sergio Chiusi
Roberto Estu00E9vez
Anthony La Penna
Edoardo Mulargia"
38,,Judith O'Dea Mary Lynn Rajskub Melanie Jayne Lynskey,Claustrophobia,Mark Tapio Kines
39,,"Mara Russell-Tavernan
Paul England",The Trial of Madame X,Alexandre Bisson
40,,Rosalind Russell William Nigel Ernle Bruce Ronald Charles Colman Victor McLaglen Lily Claudette Chauchoin Gregory Ratoff Richmond Reed Carradine,Under Two Flags,
41,,Gajala Jr NTR Rajeev Kanakala,,Pruthvi Raj
42,,,Serial (film) Universal Pictures,
43,,Luke Bishop Adam Blake (actor) Deni Francis,,Kathleen Byrson
44,,Rachel McAdams Eric Banadinovich,The Time Traveler's Wife,Jeremy Leven Bruce Joel Rubin
45,,Jerzy Fedorowicz Ewa Konarska,,Krzysztof Kie?lowski
46,,Teresa Stratas Plácido Domingo,,Alexandre Dumas fils
47,,Douglas Rushkoff Emmanuel Goldstein Robin Gross Ricardo Dominguez Jon Johansen,,Fate
48,,David Graf G.W. Bailey Steven Guttenberg Leslie Easterbrook Michael Winslow Bubba Smith George Jongejans,Police Academy 4: Citizens on Patrol,Gene Quintano
49,David Holden,Kristy Swanson David Wayne Spade Joseph Frank Pesci,8 Heads in a Duffel Bag,Tom Schulman
50,,Pamela Suzette Grier Ice Cube Jason Statham Clea Helen D'Etienne DuVall Natasha Henstridge Joanna Cassidy,Ghosts of Mars,John Howard Carpenter
51,,Ralph Bates Suzanna Leigh Barbara Jefford,,Tudor Gates Sheridan Le Fanu
52,,Larry Fine (actor) Harry Moses Horwitz Joe Besser,,
53,,Gregory Neale Harrison Teri Garr Valerie Mahaffey Charles Grodin Dabney Coleman Carol Creighton Burnett,,"Mark Ganzel
Barry Kemp"
54,,Eiji Wentz Sada Mayumi Hassei Takano Kanji Tsuda Hideyo Amamoto Da Pump Masaya Kikawada Hiroshi Miyauchi Itsuji Itao Komine Rena Ryoko Kobayashi,,Toshiki Inoue
55,,Julie Frances Christie Donald McNichol Sutherland,Don't Look Now,Allan Scott (screenwriter) Chris Bryant (writer) Daphne du Maurier
56,,"Peter Sydney Lawford Maggie Wright Leslie Sands Samuel George Davis, Jr.",One More Time,Michael Pertwee
57,,Viola Barry Charles Chaplin Roscoe 'Fatty' Arbuckle,His Favourite Pastime,Craig Hutchinson
58,,Java (actor) André Reybaz,Un Chant d'Amour,Jean Genet
59,,Ruth Elizabeth Davis Robert John Wagner,,"David Greene
Barry Oringer"
60,,Peter Capaldi Martin Compston,Wild Country,Craig Strachan
61,,Sombat Metanee,,Rattan Pestonji
62,,Leslie Wing Jeffrey Byron Lonnie Hashimoto Phil Fondacaro Randy Popplewell Blackie Lawless Anthony T. Genova III Felix Silla Peter Kent (actor) Charles Richard Moll Randy Piper Paul Pape Chris Holmes Tony Richards Michael Steve Jones,,Rosemarie Turko Allen Actor Peter Manoogian Charles Band (filmmaker) John Carl Buechler Dave Allen Ted Nicolaou Jeffrey Byron
63,,Peter Reid (triathlete) Lori Bowden Luke Bell Heather Fuhr,,
64,,Kenji Oyama Toshiaki Konoe Yamaguchi Yoshiko (u5C71u53E3 u6DD1u5B50),,Torashiro Sait? Kihan Nagase Hiroshi Ushida
65,,Elliott Dexter,The Squaw Man,"Beulah Marie Dix
Edwin Milton Royle"
66,,Shaun Mark Bean Nigel Terry Katherine Mathilda Swinton,Caravaggio,"Derek Jarman
Suso Cecchi d'Amico
Nicholas Ward-Jackson (story)"
67,,"Shirley Mae Jones James David Graham Niven Marlon Brando, Jr.",Bedtime Story,Paul Henning
68,,Pauline Carton Feral Benga Odette Talazacuez Enrique Rivero Jean Desbordes Lee Miller,The Blood of a Poet,
69,,Jean-Pierre Léaud Marie Mansart Stacey Tendeter Sylvia Marriott Kika Markham,Two English Girls,Franu00E7ois Roland Truffaut Jean Gruault Henri-Pierre Roché
70,,Carol J. Clover Michelle Glick Debbie D Erik Marcisak,,
71,,,Columbia Pictures Serial (film),
72,,Harold Lloyd,"Luke, Patient Provider",
73,,William Kerwin Mal Arnold Lyn Bolton Scott H. Hall Connie Mason,Blood Feast,David F. Friedman Allison Louise Downe Herschell Gordon Lewis
74,,Edward Allen Harris Jessica Phyllis Lange,Sweet Dreams,Robert Getchell
