id,actors,title
0,Gayne Whitman,The Silver Lining
1,Arthur Christopher Orme Plummer Karen Blanche Ziegler,
2,Nandita Das Rishibala Naval Prakash Raj Madhavan Ranganathan P. S. Keerthana Mincha,Kannathil Muthamittal
3,Arthur Stanley Jefferson,Zeb vs. Paprika
4,"Lucinda Jenney Kari Wuhrer Joseph Anthony Mantegna, Jr. Constantine Joanides Bethany Joy Lenz Robert John Burke",Thinner
5,Michael Dudikoff Michelle Botes Gary Conway Steve James Larry Poindexter Jeff Weston,American Ninja 2: The Confrontation
6,Poonam Dhillon Harihar Jariwala Rakhee Gulzar Amitabh Bachchan Balbir Raj Kapoor,
7,Herbert Rawlinson Priscilla Dean Albert Conti Arthur Stanley Jefferson Oliver Hardy,Slipping Wives
8,Madhur Jaffrey Zohra Sehgal Barry Foster (actor) Michael Hugh Johnson  Rita Tushingham Aparna Sen Saeed Jaffrey Utpal Dutt,
9,Genelia D'Souza Hrishitaa Bhatt Nitin Krishnam Raju,
10,Marion Robert Morrison Lucille Fay LeSueur Phillip Dorn,Reunion in France
11,Reginald Marsh (actor) Pauline Murray Bart Allison Sebastian Lewis Shaw,It Happened Here
12,Kamal Haasan,
13,Tom Laughlin (actor),
14,Daria Nicolodi Irene Miracle Alida Maria Laura von Altenburger Eleonora Giorgi Leigh McCloskey,Inferno
15,Wolfgang Reichmann Wolfgang von Ungern-Sternberg Athina Zacharopoulou Peter Brogle,Lebenszeichen
16,Sarah Blanche Sweet,The Warrens of Virginia
17,Robert John Wagner May Britt Robert Mitchum,
18,Lou Costello Dudley Dickerson William Alexander Abbott Mari Blanchard,Abbott and Costello Go to Mars
19,Mary William Ethelbert Appleton Burke Fania Borach Frances Ethel Gumm,
20,Kadeem Hardison Marlon Wayans,The Sixth Man
21,,Academy Award for Documentary Feature
22,"Vantha Talisman
u00C9ric Nguyen","Que la barque se brise, que la jonque s'entrouvre"
23,Terrance Quinn Mel Gibson Diane Hall,
24,Paul Morris (actor) Renae Raos S. William Hinzman Debbie Ann Rochon Amber Newman Lucy Frashure David Levy (actor),Evil Ambitions
25,Leslie William Nielsen August Schellenberg Mimi Kuzyk Stuart Bruce Greenwood,
26,,List of Sundance Film Festival award winners
27,Peter Alexander Ustinov Robert Mitchum Deborah Jane Kerr-Trimmer,The Sundowners
28,Nobuko Miyamoto Yasuo Daichi Takehiro Murata,Minbo
29,Helena Bonham Carter Tracey Ullman Emily Anita Watson John Christopher Depp II,Corpse Bride
30,,Sinbad Golden Films
31,Amitabh Bachchan Utpal Dutt Jalal Agha,Saat Hindustani
32,Selma Blair Beitner Michael Rooker,
33,"Angeline Brown Roy Harold Scherer, Jr. Aristotelis Savalas",pretty_maids_all_in_a_row Pretty Maids All in a Row
34,"Christopher Frank Carandini Lee Desi Arnaz, Jr. Vincent Leonard Price, Jr. Richmond Reed Carradine Peter Wilton Cushing",House of the Long Shadows
35,Victoria Principal Anthony Perkins Paul Leonard Newman Winfred Jacqueline Fraser-Bisset Richard Farnsworth,
36,Isabelle Yasmine Adjani Michel Galabru Jean-Hugues Anglade Christopher Lambert,
37,"Anthony Steffen
Ajita Wilson
Cristina Lau
Cintia Lodetti",Escape from Hell
38,Judith O'Dea Mary Lynn Rajskub Melanie Jayne Lynskey,Claustrophobia
39,"Mara Russell-Tavernan
Paul England",The Trial of Madame X
40,Rosalind Russell William Nigel Ernle Bruce Ronald Charles Colman Victor McLaglen Lily Claudette Chauchoin Gregory Ratoff Richmond Reed Carradine,Under Two Flags
41,Gajala Jr NTR Rajeev Kanakala,
42,,Serial (film) Universal Pictures
43,Luke Bishop Adam Blake (actor) Deni Francis,
44,Rachel McAdams Eric Banadinovich,The Time Traveler's Wife
45,Jerzy Fedorowicz Ewa Konarska,
46,Teresa Stratas Plácido Domingo,
47,Douglas Rushkoff Emmanuel Goldstein Robin Gross Ricardo Dominguez Jon Johansen,
48,David Graf G.W. Bailey Steven Guttenberg Leslie Easterbrook Michael Winslow Bubba Smith George Jongejans,Police Academy 4: Citizens on Patrol
49,Kristy Swanson David Wayne Spade Joseph Frank Pesci,8 Heads in a Duffel Bag
50,Pamela Suzette Grier Ice Cube Jason Statham Clea Helen D'Etienne DuVall Natasha Henstridge Joanna Cassidy,Ghosts of Mars
51,Ralph Bates Suzanna Leigh Barbara Jefford,
52,Larry Fine (actor) Harry Moses Horwitz Joe Besser,
53,Gregory Neale Harrison Teri Garr Valerie Mahaffey Charles Grodin Dabney Coleman Carol Creighton Burnett,
54,Eiji Wentz Sada Mayumi Hassei Takano Kanji Tsuda Hideyo Amamoto Da Pump Masaya Kikawada Hiroshi Miyauchi Itsuji Itao Komine Rena Ryoko Kobayashi,
55,Julie Frances Christie Donald McNichol Sutherland,Don't Look Now
56,"Peter Sydney Lawford Maggie Wright Leslie Sands Samuel George Davis, Jr.",One More Time
57,Viola Barry Charles Chaplin Roscoe 'Fatty' Arbuckle,His Favourite Pastime
58,Java (actor) André Reybaz,Un Chant d'Amour
59,Ruth Elizabeth Davis Robert John Wagner,
60,Peter Capaldi Martin Compston,Wild Country
61,Sombat Metanee,
62,Leslie Wing Jeffrey Byron Lonnie Hashimoto Phil Fondacaro Randy Popplewell Blackie Lawless Anthony T. Genova III Felix Silla Peter Kent (actor) Charles Richard Moll Randy Piper Paul Pape Chris Holmes Tony Richards Michael Steve Jones,
63,Peter Reid (triathlete) Lori Bowden Luke Bell Heather Fuhr,
64,Kenji Oyama Toshiaki Konoe Yamaguchi Yoshiko (u5C71u53E3 u6DD1u5B50),
65,Elliott Dexter,The Squaw Man
66,Shaun Mark Bean Nigel Terry Katherine Mathilda Swinton,Caravaggio
67,"Shirley Mae Jones James David Graham Niven Marlon Brando, Jr.",Bedtime Story
68,Pauline Carton Feral Benga Odette Talazacuez Enrique Rivero Jean Desbordes Lee Miller,The Blood of a Poet
69,Jean-Pierre Léaud Marie Mansart Stacey Tendeter Sylvia Marriott Kika Markham,Two English Girls
70,Carol J. Clover Michelle Glick Debbie D Erik Marcisak,
71,,Columbia Pictures Serial (film)
72,Harold Lloyd,"Luke, Patient Provider"
73,William Kerwin Mal Arnold Lyn Bolton Scott H. Hall Connie Mason,Blood Feast
74,Edward Allen Harris Jessica Phyllis Lange,Sweet Dreams
75,Ashfaq Bhatti Rehan Rooshanie Ejaz Rubya Chaudhry Najma Malik Sultan Billa Haider Raza Kunwar Ali Roshan Salim Meraj Osman Khalid Butt,
76,Michael Craig Peter Seamus Ou2019Toole Susannah Yolande Fletcher,Country Dance
77,Amelia Warner Christopher Eccleston Ian McShane Frances Conroy Alexander Ludwig (actor),The Seeker
78,Bob Dylan Leon Russell Billy Preston Eric Clapton Ravi Shankar George Harrison Ringo Starr,
79,Richard Riehle Michelle Christine Trachtenberg Elisabeth Shue Joseph Leonard Gordon-Levitt Mary Lynn Rajskub Alexander Brady Corbet,Mysterious Skin
80,Kenneth Charles Branagh Heather Graham Courtney Cox Alice Connor,Alien Love Triangle
81,Kathy Ann Najimy Anthony Clark (actor) Gabrielle Monique Union Peter Michael Paige Lisa Edelstein Melanie Jayne Lynskey,
82,John Christopher Depp II Lance Henriksen Gary Farmer,Dead Man
83,Dave Grohl Charlotte Hatherley Chris Martin Moby James Nesbitt Jonny Buckland Tim Wheeler,
84,,
85,Tomisaburo Wakayama,Long Wolf and Cub: Baby Cart in Land of Demons Lone Wolf and Cub: Baby Cart in Land of Demons
86,Karen Jane Allen Jeffrey Leon Bridges,Starman
87,Eva Amurri Jena Malone Patrick Raymond Fugit Macaulay Carson Culkin Mary-Louise Parker Martin Donovan Mandy Moore,Saved!
88,Jacquiline Alice Newlin Walter Davis Pidgeon Charles Murray (actor) Fred Kelsey William Phillips,
89,Elias Koteas Keri Lynn Russell Catherine Ann Bosworth Alessandro Antine Nivola Susan Alexandra Weaver,The Girl In The Park
90,Lawrence Hilton Jacobs Kathleen York Katherine Cunningham-Eves Thomas Cavanaugh,Sublime
91,Shalom Jaffe Marion Robert Morrison Eiko Ando,The Barbarian and the Geisha
92,Yuri Yakovlev Igor Ilyinsky,
93,David Graf G.W. Bailey Leslie Easterbrook Matt McCoy (actor) Michael Winslow Bubba Smith George Jongejans,Police Academy 5: Assignment Miami Beach
94,William J. Dafoe Dana Delany Susan Abigail Tomalin,Light Sleeper
95,Ronald Francis Perlman Thomas Kretschmann Wesley Trent Snipes Leonor Varela Palma Danny John-Jules Luke Goss Kristoffer Kristofferson,Blade Movies Blade II
96,Irene Miracle Robert Creel Davis Randall Rudy Quaid John Vincent Hurt,Midnight Express Golden Globe Award for Best Motion Picture - Drama
97,José Luis López Vázquez,La venus maldita
